program,sub_program,district_name,campus_id,campus,year,demog,subject,proficiency,rate
Alumni Network,NULL,DALLAS ISD,57905017,H GRADY SPRUCE H S,2016,all,reading,approaches,45
Teams,Teams 1,DALLAS ISD,57905021,W T WHITE H S,2016,all,math,meets,15
Teams,Teams 1,DALLAS ISD,57905021,W T WHITE H S,2016,all,math,approaches,59
Teams,Teams 1,DALLAS ISD,57905021,W T WHITE H S,2016,all,reading,meets,36
Teams,Teams 1,DALLAS ISD,57905021,W T WHITE H S,2016,all,reading,approaches,58
Alumni Network,NULL,DALLAS ISD,57905028,EMMETT J CONRAD H S,2016,all,math,meets,21
Alumni Network,NULL,DALLAS ISD,57905028,EMMETT J CONRAD H S,2016,all,math,approaches,55
Alumni Network,NULL,DALLAS ISD,57905028,EMMETT J CONRAD H S,2016,all,reading,meets,28
Alumni Network,NULL,DALLAS ISD,57905028,EMMETT J CONRAD H S,2016,all,reading,approaches,42
Teams,Teams 2,DALLAS ISD,57905044,EDWARD H CARY MIDDLE,2016,all,math,meets,15
Teams,Teams 2,DALLAS ISD,57905044,EDWARD H CARY MIDDLE,2016,all,math,approaches,52
Teams,Teams 2,DALLAS ISD,57905044,EDWARD H CARY MIDDLE,2016,all,reading,meets,18
Teams,Teams 2,DALLAS ISD,57905044,EDWARD H CARY MIDDLE,2016,all,reading,approaches,54
Alumni Network,NULL,DALLAS ISD,57905050,ROBERT T HILL MIDDLE,2016,all,math,meets,24
Alumni Network,NULL,DALLAS ISD,57905050,ROBERT T HILL MIDDLE,2016,all,math,approaches,64
Alumni Network,NULL,DALLAS ISD,57905050,ROBERT T HILL MIDDLE,2016,all,reading,meets,25
Alumni Network,NULL,DALLAS ISD,57905050,ROBERT T HILL MIDDLE,2016,all,reading,approaches,61
Teams,Teams 2,DALLAS ISD,57905054,THOMAS C MARSH MIDDLE,2016,all,math,meets,19
Teams,Teams 2,DALLAS ISD,57905054,THOMAS C MARSH MIDDLE,2016,all,math,approaches,52
Teams,Teams 2,DALLAS ISD,57905054,THOMAS C MARSH MIDDLE,2016,all,reading,meets,21
Teams,Teams 2,DALLAS ISD,57905054,THOMAS C MARSH MIDDLE,2016,all,reading,approaches,55
Teams,Teams 2,DALLAS ISD,57905055,THOMAS J RUSK MIDDLE,2016,all,math,meets,21
